round,clients,samples,accuracy,precision,recall,f1,attack_accuracy,attack_precision,attack_recall,attack_f1
1,7,705039,0.9014863007578304,0.8569464501713142,0.9014863007578304,0.8740240857600153,0.9037471685963472,0.6107824743149475,0.49152795887178946,0.48301682953589914
2,7,705039,0.8994537890811714,0.8600730745173039,0.8994537890811714,0.8762176155593692,0.9033244969427223,0.60515805130255,0.518832328807313,0.5240770685097815
3,7,705039,0.9012976587110784,0.8645258270149229,0.9012976587110784,0.8771249700059647,0.9048293782329772,0.6115086167180424,0.5153135515888471,0.5225103896872525
4,7,705039,0.9019841455579053,0.8611611409515961,0.9019841455579053,0.8772545936337114,0.905270488582901,0.6141311453797724,0.5124737436522632,0.5184310226505324
5,7,705039,0.9012125570358519,0.8644029009813841,0.9012125570358519,0.8770605584403118,0.9047570418090347,0.6115054102336411,0.5164687509828838,0.5254254285158034
6,7,705039,0.9029316108754267,0.863036292670329,0.9029316108754267,0.8778631602292029,0.9060378220211932,0.6167460055947891,0.505968997475366,0.5122795679554898
7,7,705039,0.901765717924824,0.8646897664395831,0.901765717924824,0.8780505367627672,0.9054080696245173,0.6188559658124523,0.518885389765638,0.5282182571834613
8,7,705039,0.9019997475316969,0.8639715905309576,0.9019997475316969,0.8781399244591549,0.9055626710011787,0.6154912680510768,0.5206353523696693,0.5249479122055224
9,7,705039,0.9026380100958954,0.8643107947890233,0.9026380100958954,0.878110846259246,0.9059357000109214,0.6139687750804315,0.5166155807417399,0.5214810612297308
10,7,705039,0.9035968223034471,0.8645445594746091,0.9035968223034471,0.8788593972104175,0.9069001856634881,0.6234637321411397,0.5141962288264337,0.5176442942619597
