round,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,attack_accuracy,attack_precision,attack_recall,attack_f1,confusion_matrix
1,0.24283654987812042,0.8930846537727388,0.9224327212366765,0.8930846537727388,0.9028785151260534,0.8975461674677461,0.5548474077705601,0.8461682242990655,0.670219853431046,"[[5486, 0, 112, 1426, 89], [0, 0, 0, 0, 0], [139, 0, 1685, 76, 0], [4566, 0, 1877, 69002, 821], [48, 0, 0, 144, 1495]]"
2,0.2308524250984192,0.9025826184945841,0.9229755575453836,0.9025826184945841,0.9097260905477419,0.9067336660304027,0.5886947584789312,0.8029906542056074,0.6793437438228899,"[[5051, 0, 144, 1847, 71], [0, 0, 0, 0, 0], [99, 0, 1756, 45, 0], [3353, 0, 2132, 70263, 518], [47, 0, 0, 216, 1424]]"
3,0.22083544731140137,0.908584964238898,0.9265313576774465,0.908584964238898,0.9148456206194937,0.9126095255617138,0.6078035888162471,0.8167289719626168,0.6969455299465667,"[[5181, 0, 114, 1733, 85], [0, 0, 0, 0, 0], [108, 0, 1708, 84, 0], [3195, 0, 1864, 70627, 580], [43, 0, 0, 144, 1500]]"
4,0.22260922193527222,0.907205114642504,0.9272243101514972,0.907205114642504,0.91408770455366,0.911494147137962,0.6015418949076892,0.8313084112149532,0.6980029034409699,"[[5288, 0, 106, 1610, 109], [0, 0, 0, 0, 0], [121, 0, 1713, 66, 0], [3386, 0, 1888, 70374, 618], [37, 0, 0, 129, 1521]]"
5,0.22079570591449738,0.9087229491985374,0.9267582569464967,0.9087229491985374,0.9150412805300114,0.9125980268150772,0.6076714613299979,0.8172897196261683,0.6970626918018413,"[[5217, 0, 109, 1705, 82], [0, 0, 0, 0, 0], [96, 0, 1684, 120, 0], [3196, 0, 1882, 70620, 568], [50, 0, 0, 130, 1507]]"
6,0.2173919379711151,0.9103557712209369,0.9264642948709259,0.9103557712209369,0.9159252400495808,0.9142193500908401,0.6161623404560448,0.8030841121495327,0.6973139657550921,"[[5011, 0, 130, 1875, 97], [0, 0, 0, 0, 0], [73, 0, 1733, 94, 0], [2828, 0, 1914, 70913, 611], [36, 0, 0, 138, 1513]]"
7,0.2085122913122177,0.9117816158038774,0.9303211117903396,0.9117816158038774,0.9181615177380503,0.9157946783800566,0.616343967477434,0.835981308411215,0.7095545948518621,"[[5361, 0, 138, 1525, 89], [0, 0, 0, 0, 0], [89, 0, 1742, 69, 0], [3209, 0, 1875, 70698, 484], [33, 0, 0, 161, 1493]]"
8,0.21286417543888092,0.9112871696985029,0.9303040398969601,0.9112871696985029,0.9177917408350265,0.9154727134742313,0.614778257591336,0.8382242990654205,0.7093202578196054,"[[5335, 0, 136, 1539, 103], [0, 0, 0, 0, 0], [87, 0, 1743, 70, 0], [3144, 0, 1927, 70646, 549], [38, 0, 0, 122, 1527]]"
9,0.2107354700565338,0.9115286433778718,0.9315583118499924,0.9115286433778718,0.9183166397074239,0.9157486833935101,0.6135613763382937,0.851588785046729,0.7132401862940785,"[[5483, 0, 127, 1403, 100], [0, 0, 0, 0, 0], [97, 0, 1739, 64, 0], [3357, 0, 1859, 70527, 523], [43, 0, 0, 121, 1523]]"
10,0.20525161921977997,0.9145298162500287,0.9321342001563906,0.9145298162500287,0.9205779551512465,0.9182669089069292,0.6246356696738377,0.841214953271028,0.7169255276782158,"[[5448, 0, 114, 1467, 84], [0, 0, 0, 0, 0], [86, 0, 1726, 88, 0], [3100, 0, 1819, 70857, 490], [41, 0, 0, 144, 1502]]"
